"","class","shippable","trans_elapsed_secs_d","time_delta","amount_delta","diff_avg_trans_amount_y","trans_count_d","trans_count_ratio_y","trans_total_y","notShippable_total_y","nonShippable_ratio_y","account_age","mean_time_delta_d","time_from_refDate","cust_ip_count_y","trans_card2_ratio_y","source_H","source_E","bill_loc_T","bill_loc_U","isWeekDay","spring","summer","fall","winter","bhours"
"66","0",0,-3.921596,0.2777418,0.04170214,2.181906e-19,-0.198512,1,-0.1071995,0.1202262,1,-0.3456531,1.750667,1.093861,-0.0890118,1,1,0,0,1,0,1,0,0,0,0
"67","0",0,-0.2946994,-0.1746083,0.5439458,1.918356,-0.198512,0.3333333,2.412057,1.826718,0.4302926,0.48655,-0.3711432,1.152966,0.2014672,0.75,1,0,0,1,1,0,1,0,0,1
"68","0",0,1.232956,-0.1624333,0.04178584,2.181906e-19,-0.198512,1,-0.1071995,0.1202262,1,0.5013667,-0.421572,0.6787777,-0.0890118,1,1,0,0,1,0,0,1,0,0,0
"70","0",1,1.040886,0.6133363,-1.598542,0.1162887,0.6854822,0.6666667,0.7631106,-0.2417568,0,0.6297779,-0.1011165,0.447562,0.2014672,3,1,0,0,1,1,1,0,0,0,0
"71","0",1,0.496226872827912,-0.186783400960347,0.394695697751643,2.18190576893974e-19,-0.198511962336195,1,0.00516478115621915,-0.241756803005203,0,-0.0789530128939564,-0.177549499831434,-1.36975989572638,-0.0890117975074001,1,1,0,1,0,0,0,0,0,1,1
"72","0",1,-4.077282,1.889844,0.8369212,2.181906e-19,-0.198512,1,0.5668688,-0.2417568,0,1.94661,4.111752,1.136686,-0.0890118,1,1,0,0,0,0,0,1,0,0,0
"73","0",0,1.150522,0.08512618,-0.0001514989,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,-0.3456531,-0.3737555,-0.3484795,-0.0890118,1,1,0,0,1,1,0,0,1,0,0
"75","0",0,1.729219,-0.03194167,-0.1257124,2.181906e-19,-0.198512,1,-0.1071995,0.1202262,1,0.8483238,-0.3028129,0.8059701,-0.0890118,1,1,0,0,1,0,0,0,1,0,0
"77","0",1,0.420696725172902,-0.207699522507762,0.418719684487832,2.18190576893974e-19,-0.198511962336195,1,0.0923247347495347,-0.241756803005203,0,-0.313550346980822,0.136019234989431,-0.656378367154151,-0.0890117975074001,1,1,0,0,1,1,1,0,0,0,1
"78","0",0,-0.2689474,-0.1958366,0.2091167,2.181906e-19,-0.198512,1,-0.1071995,0.1202262,1,0.1111943,-0.4027417,-0.3825237,-0.0890118,1,1,0,0,1,0,0,0,1,0,1
"79","0",1,-3.20247203057412,2.65593604397649,0.110007269564259,2.18190576893974e-19,-0.198511962336195,1,0.111843406267069,-0.241756803005203,0,-0.307994094331396,-0.07398706361057,-1.42429075796499,-0.0890117975074001,1,1,0,1,0,0,0,0,1,0,0
"80","0",0,0.4918773,-0.2192502,11.98639,2.181906e-19,0.6854822,1,17.27204,30.78536,1,-0.3456531,0.4610162,-0.1419766,-0.0890118,0.5,1,0,1,0,1,0,0,0,0,1
"81","0",0,-0.08309074,-0.2348593,0.3597898,-0.3920989,-0.198512,0.2,0.8239525,1.763216,1,3.812893,-0.6379735,0.773356,-0.0890118,1.25,1,0,0,1,0,0,0,1,0,1
"82","0",0,-0.5089316,1.211475,-0.0404147,2.181906e-19,-0.198512,1,-0.1940077,-0.03294429,1,-0.3456531,0.2669519,0.4379789,-0.0890118,1,1,0,1,0,1,1,0,0,0,1
"83","0",1,0.1113959,-0.2192502,1.290615,2.181906e-19,-0.198512,1,0.6325172,-0.2417568,0,0.1642874,-0.3391774,-0.256892,-0.0890118,1,1,0,0,1,1,0,0,0,1,1
"84","0",1,-0.5771435,-0.2217477,1.622681,-1.784315,-0.198512,0.5,1.363266,-0.2417568,0,1.076748,0.4751075,1.602979,0.2014672,2,1,0,1,0,1,1,0,0,0,1
"85","0",0,0.4101336,-0.1855347,0.3597898,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,-0.09500441,-0.4745179,-0.4925744,-0.0890118,1,1,0,0,1,1,0,1,0,0,1
"86","0",1,1.37131336416909,0.0401721268750451,0.658541015495433,2.18190576893974e-19,-0.198511962336195,1,1.44608821033206,-0.241756803005203,0,-0.345653140066393,-0.0163089023347227,-0.74339588222546,-0.0890117975074001,1,1,0,0,1,1,0,0,0,1,0
"87","0",1,0.01480848,-0.2017681,-1.065578,2.181906e-19,-0.198512,1,0.5668688,-0.2417568,0,0.3371486,0.7047357,1.391866,-0.0890118,1,1,0,0,1,1,0,0,1,0,1
"88","0",1,-2.976917,-0.2323618,1.862168,2.181906e-19,-0.198512,1,1.138244,-0.2417568,0,1.400862,-0.1307921,2.017238,-0.0890118,1,1,0,0,1,0,0,0,0,1,0
"89","0",1,-4.006378,-0.09437785,0.2477894,2.181906e-19,-0.198512,1,0.07708493,-0.2417568,0,-0.3450358,3.218655,1.081592,-0.0890118,1,1,0,1,0,1,1,0,0,0,0
"90","0",0,-3.89294461439291,2.96561951524569,0.0126557135566362,2.18190576893974e-19,-0.198511962336195,0.5,0.859941918514202,1.8267177852151,1,1.21256704739479,0.433836954253604,-1.28362486487032,-0.0890117975074001,2,1,0,0,1,0,0,0,0,0,0
"91","0",0,-0.3859708,-0.173984,0.1505216,0.436519,-0.198512,0.5,0.1272591,0.5339212,1,0.2612131,-0.3998665,-0.4790006,-0.0890118,2,1,0,0,1,0,0,1,0,0,1
"92","0",0,0.3644288,-0.1917783,0.2091167,-0.2668877,-0.198512,0.125,1.673865,3.26286,1,1.687318,-0.004958404,-0.1328239,1.653862,8,1,0,0,0,1,0,0,0,0,1
"93","0",1,1.313734,0.4413246,0.07736143,2.181906e-19,-0.198512,1,0.3689272,-0.2417568,0,-0.3425663,-0.06994346,1.791765,-0.0890118,1,1,0,0,1,0,0,1,0,0,0
"94","0",0,1.302963,-0.2357958,-0.0001514989,2.181906e-19,-0.198512,1,-0.1071995,0.1202262,1,-0.2832996,-0.6516034,0.2868845,-0.0890118,1,1,0,0,0,1,0,0,1,0,0
